234,09,10,12,22,27,41
235,02,04,27,28,31,36
236,01,10,11,24,32,37
237,05,06,24,33,42,45
238,01,09,18,28,36,44
239,12,26,27,33,36,37
240,04,07,09,10,30,40
241,02,07,14,28,42,45
242,01,05,13,27,40,45
243,05,07,18,26,30,36
244,02,10,14,19,23,37
245,05,19,27,32,41,45
246,12,31,32,34,35,43
247,01,05,14,16,36,38
248,18,23,24,26,29,33
249,05,16,19,23,29,37
250,08,10,12,29,30,42
251,17,19,21,23,36,40
252,03,07,15,27,41,45
253,04,11,19,25,32,40
254,08,19,25,31,37,40
255,05,10,13,19,25,44
256,01,14,19,26,41,42
257,12,21,23,27,31,34
258,06,08,13,17,20,34
259,14,21,24,28,31,40
260,06,19,38,40,41,44
261,03,06,12,22,26,35
262,04,10,13,22,38,42
263,12,18,31,34,35,42
264,07,11,18,28,34,43
265,04,12,24,33,39,43
266,02,03,06,16,41,44
267,01,07,08,09,36,40
268,02,05,11,16,30,34
269,07,20,23,25,26,39
270,11,22,24,33,38,43
271,03,09,13,20,30,34
272,06,16,28,29,39,44
273,06,09,14,30,33,42
274,06,07,22,32,36,39
275,04,15,17,23,29,43
276,10,20,24,27,28,29
277,03,10,22,23,25,43
278,10,11,22,29,37,40
279,09,18,25,26,27,29
280,11,26,28,34,36,37
281,09,15,20,30,31,33
282,10,11,26,29,33,38
283,06,11,16,18,27,41
284,10,21,23,25,35,38
285,03,18,24,29,30,35
286,18,19,25,26,29,39
287,13,16,25,34,37,41
288,05,14,22,26,29,39
289,05,09,17,18,19,22
290,02,17,19,27,31,36
291,06,14,19,38,43,44
292,18,20,24,40,42,45
293,06,20,22,26,43,44
294,04,13,32,35,40,42
295,22,25,35,36,38,39
296,02,04,17,24,31,40
297,08,11,13,23,24,28
298,03,05,06,07,34,40
299,02,18,22,30,32,43
300,15,19,20,26,34,39
301,06,08,23,32,33,41
302,25,27,29,33,37,38
303,06,18,22,24,36,39
304,04,07,15,28,34,37
305,02,03,27,28,34,43
306,22,26,33,34,38,42
307,02,07,08,10,28,44
308,12,26,28,29,39,43
309,03,08,09,25,27,28
310,07,15,20,29,31,38
311,08,10,14,19,26,34
312,13,14,16,19,20,23
313,08,09,24,27,40,45
314,09,16,18,38,41,45
315,02,21,32,37,38,42
316,26,31,32,37,43,45
317,05,06,29,30,37,38
318,03,08,10,24,27,28
319,07,10,18,31,39,43
320,19,34,37,39,41,44
321,18,22,24,29,41,45
322,05,16,17,28,31,38
323,12,24,25,33,40,44
324,03,08,22,28,33,42
325,16,18,28,36,37,45
326,15,17,18,33,34,44
327,03,22,25,29,33,40
328,01,03,11,12,22,36
329,16,17,24,28,30,36
330,11,19,30,36,38,40
331,10,12,13,22,26,40
332,05,06,22,27,34,37
333,08,10,11,28,42,45
334,08,14,18,21,44,45
335,11,12,13,16,29,31
336,12,16,17,18,26,34
337,03,13,17,18,23,34
338,10,20,22,24,27,42
339,01,03,11,14,23,29
340,18,27,32,35,41,44
341,12,19,27,39,42,45
342,02,06,11,13,15,38
343,01,20,24,36,43,45
344,06,12,19,21,25,45
345,04,12,17,29,35,44
346,14,18,31,34,39,44
347,18,19,22,28,41,42
348,11,12,20,26,28,42
349,07,08,09,34,40,43
350,01,12,14,36,39,43
351,02,14,30,38,39,45
352,06,22,24,28,30,37
353,06,26,34,35,39,42
354,02,18,31,33,36,41
355,09,18,19,20,31,45
356,17,22,26,30,33,35
357,04,06,11,18,24,25
358,07,12,13,17,25,30
359,06,18,22,25,31,37
360,06,18,28,32,34,35
361,20,23,26,27,32,34
362,12,14,24,26,30,40
363,04,12,18,21,25,41
364,06,27,28,30,37,44
365,07,09,16,19,24,33
366,08,10,12,21,25,40
367,03,05,11,18,24,29
368,08,13,20,21,25,28
369,11,18,23,25,28,35
370,02,04,12,23,37,45
371,07,28,29,39,42,45
372,01,06,07,22,31,39
373,06,08,26,34,40,41
374,01,03,11,15,27,30
375,07,16,20,26,30,34
376,01,14,22,26,35,42
377,02,10,11,32,40,44
378,01,07,16,27,29,34
379,01,03,10,11,16,44
380,21,28,34,35,41,44
381,03,22,24,25,31,37
382,10,19,31,35,42,44
383,04,14,32,35,36,40
384,01,08,14,16,19,22
385,09,22,33,34,35,44
386,17,27,28,30,33,41
387,19,21,22,23,25,44
388,01,20,21,23,26,33
389,01,08,14,24,31,40
390,12,15,19,38,40,45
391,08,16,21,31,35,38
392,02,09,13,29,33,40
393,11,13,14,22,30,38
394,09,11,12,22,27,29
395,01,04,06,13,37,41
396,03,04,06,38,39,43
397,01,02,05,09,23,24
398,22,24,25,30,33,38
399,11,12,33,36,39,43
400,01,11,17,25,29,35
401,05,11,18,33,37,41
402,03,22,26,27,30,44
403,11,12,14,25,29,31
404,01,10,15,24,37,45
405,07,10,18,25,44,45
406,01,07,13,23,32,42
407,05,12,15,16,25,35
408,15,23,29,31,38,43
409,01,13,17,20,30,45
410,02,07,14,24,40,41
411,04,14,20,27,32,43
412,05,24,31,32,42,45
413,05,16,24,26,34,44
414,05,10,15,19,38,42
415,05,06,16,18,24,42
416,02,07,17,24,29,37
417,01,03,06,13,18,41
418,05,17,21,27,34,40
419,09,12,22,24,30,42
420,02,19,26,27,30,37
421,03,05,19,28,31,38
422,04,11,18,33,34,45
423,02,07,25,36,38,43
424,08,10,26,28,32,34
425,07,11,14,30,35,42
426,03,12,15,16,17,44
427,04,13,20,34,35,37
428,07,11,21,25,30,44
429,01,04,05,12,17,21
430,08,11,13,20,41,43
431,04,07,12,13,20,45
432,01,02,14,15,16,30
433,04,24,28,30,33,43
434,18,23,24,27,33,41
435,01,06,14,31,35,44
436,13,27,30,38,39,41
437,01,07,08,31,34,45
438,05,23,25,30,35,38
439,01,08,13,17,21,43
440,17,28,29,33,34,35
441,06,16,18,29,39,43
442,02,11,19,27,30,42
443,01,13,16,22,23,35
444,02,03,31,33,35,40
445,11,12,14,23,29,32
446,12,18,19,27,35,42
447,05,06,07,12,23,30
448,02,05,12,35,41,43
449,04,08,22,25,37,39
450,11,13,15,26,27,41
451,02,06,22,25,35,36
452,10,11,21,23,26,37
453,02,12,16,36,37,45
454,06,07,19,29,31,36
455,02,04,11,15,35,40
456,01,04,19,21,23,39
457,03,08,11,27,32,36
458,01,05,09,10,33,41
459,11,25,37,40,41,45
460,05,20,22,25,28,32
461,02,07,25,29,39,45
462,19,21,30,31,37,43
463,02,18,21,23,30,31
464,01,02,06,07,16,27
465,16,18,24,26,40,44
466,02,03,07,25,33,34
467,10,11,16,22,28,35
468,09,12,23,26,28,43
469,07,08,10,24,33,44
470,20,22,25,39,44,45
471,05,14,16,22,25,33
472,05,14,16,24,42,43
473,06,12,15,19,25,45
474,11,18,20,22,25,26
475,06,10,21,30,43,45
476,01,05,13,31,32,43
477,11,19,26,28,30,42
478,01,04,07,09,25,31
479,13,20,22,24,33,34
480,06,14,15,19,31,39
481,02,07,18,21,24,33
482,06,08,17,20,21,31
483,06,07,12,17,19,24
484,07,08,15,20,24,31
485,01,04,12,14,19,30
486,05,06,22,23,25,44
487,05,07,14,16,29,40
488,01,09,11,23,30,37
489,02,04,13,15,26,31
490,06,09,11,26,28,36
491,21,25,29,32,34,35
492,02,15,17,25,30,38
493,08,09,28,33,35,43
494,03,09,13,17,19,20
495,07,12,24,29,31,45
496,03,06,21,36,38,39
497,09,14,22,26,44,45
498,06,09,11,28,37,44
499,02,09,12,18,21,23
500,02,06,07,25,28,41
501,02,09,24,25,30,36
502,01,06,17,30,44,45
503,03,12,21,24,28,32
504,06,12,14,27,28,36
505,06,22,28,31,37,40
506,01,04,23,28,41,42
507,04,14,15,22,28,39
508,01,03,08,15,38,40
509,02,09,21,23,32,41
510,04,07,09,22,32,37
511,01,19,29,30,40,42
512,02,05,08,12,29,38
513,06,11,20,30,37,40
514,28,30,32,38,44,45
515,03,15,22,23,38,43
516,04,16,19,30,32,44
517,04,14,21,28,32,36
518,17,19,24,30,31,40
519,02,13,27,33,40,41
520,06,07,14,31,39,44
521,10,21,22,24,43,44
522,01,09,10,19,30,38
523,05,21,24,28,29,34
524,03,05,13,19,20,33
525,14,15,16,17,19,34
526,03,14,16,27,31,35
527,16,19,24,30,32,35
528,02,20,26,35,43,45
529,12,20,30,31,34,44
530,01,02,08,27,29,39
531,02,08,09,25,26,40
532,03,13,15,16,22,36
533,08,09,12,19,22,25
534,01,09,16,27,38,45
535,09,10,11,18,22,36
536,10,18,25,26,36,43
537,02,07,10,12,33,43
538,07,12,21,24,35,43
539,08,10,23,26,37,38
540,01,15,17,26,32,44
541,05,11,12,26,44,45
542,02,04,10,21,25,43
543,10,18,24,35,41,43
544,07,12,17,21,35,45
545,02,08,19,31,38,44
546,08,26,28,37,40,42
547,01,04,19,25,35,39
548,01,15,16,34,36,42
549,04,05,09,25,33,37
550,03,10,16,24,39,44
551,08,09,20,25,30,40
552,01,04,16,32,35,38
553,09,19,24,37,38,45
554,06,11,15,33,40,44
555,01,04,18,22,26,35
556,05,13,16,20,24,35
557,04,14,24,32,36,43
558,01,04,14,36,37,41
559,01,16,23,25,30,38
560,13,15,22,28,29,41
561,01,06,16,23,34,42
562,02,10,12,20,24,39
563,02,19,23,27,29,38
564,01,06,07,13,26,39
565,01,07,17,24,35,41
566,06,09,10,16,26,42
567,03,13,17,19,21,43
568,12,16,29,35,37,44
569,08,13,20,28,35,45
570,04,07,11,17,19,31
571,06,21,30,37,38,45
572,08,23,29,37,39,44
573,02,10,19,22,24,29
574,26,31,33,37,38,45
575,01,06,10,35,36,45
576,07,10,23,36,39,44
577,10,31,37,39,40,43
578,05,25,30,36,37,41
579,01,08,11,13,15,32
580,06,07,16,37,40,44
581,05,18,29,32,38,44
582,03,18,25,29,30,44
583,01,03,07,12,22,25
584,07,09,23,32,33,37
585,06,20,21,35,40,45
586,03,12,13,28,33,36
587,02,04,21,30,33,37
588,01,08,15,23,25,39
589,03,08,19,28,35,41
590,01,29,30,32,34,35
591,06,15,29,30,37,42
592,04,10,23,26,35,37
593,01,06,13,27,35,40
594,01,15,17,19,40,43
595,10,13,22,28,38,43
596,06,07,11,16,23,44
597,02,11,23,25,26,35
598,05,16,22,27,30,31
599,19,22,24,41,44,45
600,07,16,28,33,34,45
601,04,12,17,19,32,45
602,07,09,13,33,40,44
603,07,17,18,32,39,40
604,09,23,27,30,38,41
605,04,15,24,36,37,41
606,10,13,14,26,32,33
607,04,05,17,18,22,36
608,05,08,10,17,22,31
609,14,15,17,21,31,38
610,18,20,22,33,35,39
611,02,15,21,27,31,35
612,10,11,18,19,20,45
613,04,10,18,20,32,45
614,01,13,14,19,42,45
615,09,13,18,24,26,42
616,04,25,31,35,39,41
617,05,15,21,39,43,45
618,06,14,26,41,42,43
619,04,09,19,29,36,41
620,06,09,12,17,41,42
621,14,18,19,32,33,38
